游戏名称,价格,好评率,好评人数,平均游玩时长,标签
Witchcraft U,¥ 26.00,64%,14,3.8h,角色扮演
幻灵降世录,¥ 179.00,70%,"1,682",17.7h,"角色扮演, 策略角色扮演"
SHIBUYA SUSHI MASTER,¥ 0.00,,,,角色扮演
G-MODEアーカイブス01 フライハイトクラウディア,¥ 22.00,8 篇用户评测,8,3.5h,角色扮演
Erannorth Chronicles,¥ 77.28,86%,391,32.4h,角色扮演
九霄仙途,¥ 23.80,77%,93,46.5h,角色扮演
拯救心脏星,¥ 35.00,2 篇用户评测,2,0.2h,"角色扮演, 动作角色扮演"
天使之王：梅塔特隆的飞升 高清复刻版,¥ 60.00,85%,414,4.2h,动作角色扮演
Sword Princess Amaltea - The Visual Novel,¥ 42.00,3 篇用户评测,3,1.5h,角色扮演
Enemy Engaged 2: Desert Operations,¥ 36.00,40%,15,3.4h,"角色扮演, 动作角色扮演, 策略角色扮演"
Der Geisterjäger / The Ghost Hunter,¥ 14.50,7 篇用户评测,7,0.4h,角色扮演
Into the Evernight,免费,100%,26,7.4h,"角色扮演, 策略角色扮演"
Survive Into Night,¥ 22.00,3 篇用户评测,3,0.9h,角色扮演
哈鲁,¥ 0.00,,,,角色扮演
诗酒剑江湖,¥ 6.00,7 篇用户评测,7,24.4h,角色扮演
SpellForce: Conquest of Eo,¥ 108.00,81%,"2,072",20.5h,"角色扮演, 策略角色扮演"
Mystery at Morgoth,¥ 25.00,91%,12,80.1h,角色扮演
Buriedbornes2 - Dungeon RPG -,免费开玩,83%,782,8.8h,角色扮演
Sanctuary Saga,¥ 50.00,8 篇用户评测,8,1.0h,"角色扮演, 策略角色扮演"
Color Pixel Heroes,¥ 11.00,4 篇用户评测,4,16.2h,角色扮演
ALL OUT WAR : Welcome To The Front,¥ 0.00,,,,"动作角色扮演, 策略角色扮演"
Midautumn,¥ 92.00,69%,13,0.7h,"角色扮演, 动作角色扮演"
Manafinder,¥ 47.00,95%,81,6.2h,角色扮演
Mercenaries Blaze,¥ 70.00,75%,555,12.6h,"角色扮演, 策略角色扮演"
Recapture the Castle,¥ 6.00,51%,29,0.9h,角色扮演
Purgatory Heroes,¥ 0.00,,,,"角色扮演, 动作角色扮演"
Darkion,¥ 0.00,,,,动作角色扮演
Last Group Out,¥ 37.00,81%,457,11.2h,角色扮演
Brigandine The Legend of Runersia,¥ 116.00,85%,"1,238",21.1h,策略角色扮演
Starwisp Hyperdrive,¥ 58.00,84%,13,1.9h,角色扮演
The Legend of the War Axe,¥ 11.00,9 篇用户评测,9,3.7h,动作角色扮演
长安地下城,¥ 0.00,,,,角色扮演
罗刹封魔传,¥ 58.00,83%,43,10.8h,"角色扮演, 动作角色扮演"
Dungeon Divers,¥ 22.00,79%,96,4.2h,策略角色扮演
Res Publica,¥ 0.00,,,,"角色扮演, 策略角色扮演"
Ambition,¥ 6.00,1 篇用户评测,1,1.1h,角色扮演
红眼露比,¥ 0.00,,,,"动作角色扮演, 角色扮演"
Pixacrea: Adventure,¥ 0.00,,,,"策略角色扮演, 角色扮演"
Islands of the Caliph,¥ 42.00,88%,260,2.8h,"角色扮演, 动作角色扮演"
Blood Souls,¥ 0.00,,,,"角色扮演, 动作角色扮演"
Tundralia: The Frigid Frontier,¥ 18.00,8 篇用户评测,8,0.2h,"角色扮演, 动作角色扮演"
龙腾世纪™: 影障守护者,¥ 298.00,68%,"40,383",39.0h,"角色扮演, 动作角色扮演"
ASMR,免费开玩,6 篇用户评测,6,37.5h,"角色扮演, 动作角色扮演"
HyperLeague Heroes,¥ 15.00,67%,34,125.2h,"角色扮演, 策略角色扮演"
安科俱乐部,免费开玩,92%,63,5.6h,角色扮演
Scripture,¥ 50.00,2 篇用户评测,2,2.9h,"角色扮演, 动作角色扮演"
Land Of Eno,¥ 12.00,8 篇用户评测,8,0.3h,角色扮演
花都之恋,¥ 18.00,93%,146,8.6h,角色扮演
Lilium Reach,¥ 0.00,,,,动作角色扮演
Qabara The Artist,¥ 41.00,,,0.1h,角色扮演
Witchbrook,¥ 0.00,,,,角色扮演
Exploria,¥ 22.00,60%,10,1.1h,"角色扮演, 动作角色扮演"
Where's My Horse? An Escape the Room Adventure,¥ 18.00,5 篇用户评测,5,1.8h,角色扮演
Skeletons,¥ 11.00,7 篇用户评测,7,2.0h,"角色扮演, 动作角色扮演"
Honored,免费开玩,72%,40,6.5h,"角色扮演, 动作角色扮演"
Dungeon Runner XZ,免费开玩,65%,23,9.7h,"角色扮演, 动作角色扮演, 策略角色扮演"
守望之影,¥ 39.00,42%,21,1.8h,动作角色扮演
MORTAL CRUX,¥ 0.00,,,,"动作角色扮演, 角色扮演"
不可思议的幻想乡 -FORESIGHT-,¥ 128.00,46%,288,17.4h,角色扮演
Island Berry,¥ 22.00,54%,11,2.0h,角色扮演
Japanese DoJo,¥ 19.00,4 篇用户评测,4,0.9h,角色扮演
Rising of the Moon - Part 1,¥ 22.00,3 篇用户评测,3,1.4h,角色扮演
Keyworker Simulator,¥ 0.00,,,,角色扮演
Myth Caller: The Nightmare Shaman,¥ 0.00,,,,"角色扮演, 动作角色扮演"
Путин против Инопланетян: Extended Cut (CyberPutin 2033),¥ 0.00,,,,角色扮演
无限投影,¥ 6.00,58%,214,32.2h,策略角色扮演
Absinthia,¥ 42.00,95%,43,7.3h,角色扮演
Clarent Saga: Chronicles,¥ 21.00,91%,12,2.2h,角色扮演
A Street Story,¥ 18.00,,,2.2h,角色扮演
Gelatine,¥ 26.00,90%,22,1.5h,角色扮演
You Are NOT Bunnygirl,¥ 42.00,95%,68,31.8h,角色扮演
Neon Ninja: Pixel Slasher,¥ 22.00,81%,11,10.4h,角色扮演
Legends of Starkadia,¥ 0.00,,,,角色扮演
倾覆之国：最后一战,¥ 46.00,40%,40,1.9h,"角色扮演, 动作角色扮演"
Polygon Survival,¥ 3.00,44%,25,0.7h,角色扮演
Seas of Rebellion,¥ 0.00,,,,角色扮演
Spaceport Trading Company,¥ 58.00,90%,32,3.0h,角色扮演
末世少女 Zombie Girl,¥ 38.00,51%,960,2.0h,角色扮演
Schlosshelden,免费,8 篇用户评测,8,11.0h,角色扮演
破境,¥ 26.00,5 篇用户评测,5,1.1h,角色扮演
ThisIsTheGame,¥ 0.00,,,,角色扮演
Familiars.io,免费,90%,76,4.3h,"大型多人在线角色扮演, 角色扮演"
Merchant's Odyssey,¥ 0.00,,,,"角色扮演, 策略角色扮演"
Animal Way,¥ 0.00,,,,角色扮演
Bladeborne,¥ 0.00,,,,"动作角色扮演, 角色扮演"
Fallen Ninja,¥ 6.00,68%,16,3.4h,动作角色扮演
Hellvivors Prologue,¥ 0.00,,,,"角色扮演, 动作角色扮演"
Roots of Cinder,¥ 0.00,,,,"动作角色扮演, 角色扮演"
DUNGEON: Cradle of hell,¥ 22.00,6 篇用户评测,6,1.1h,"角色扮演, 动作角色扮演"
Tiny Breakers Camp,¥ 6.30,80%,61,2.0h,角色扮演
Searching,¥ 18.00,无用户评测,,7.8h,角色扮演
AVARIS3,¥ 152.00,3 篇用户评测,3,242.0h,策略角色扮演
Fight To The Death,¥ 7.50,76%,109,19.9h,"动作角色扮演, 角色扮演"
Jinshin,¥ 58.00,4 篇用户评测,4,7.2h,角色扮演
Divine Pig,¥ 11.00,90%,11,0.8h,"角色扮演, 动作角色扮演"
Stamped: an anti-travel game,免费,7 篇用户评测,7,9.5h,角色扮演
艺术即是爆炸 - Art is Boom,¥ 18.00,4 篇用户评测,4,4.8h,动作角色扮演
Highreach,¥ 0.00,,,,"动作角色扮演, 角色扮演"
Wizardry High School Exam,¥ 18.00,1 篇用户评测,1,,动作角色扮演
Dungeons of Mysteria,¥ 26.00,75%,12,4.9h,"角色扮演, 动作角色扮演"
