游戏名称,价格,好评率,好评人数,平均游玩时长,标签
Dungeon Divers,¥ 22.00,79%,96,4.2h,策略
Res Publica,¥ 0.00,,,,策略
Panzers on the Steppe,¥ 163.00,5 篇用户评测,5,,策略
Pixacrea: Adventure,¥ 0.00,,,,策略
Drug Lords,¥ 0.00,,,,"策略, 塔防"
Nanook's Revenge,免费开玩,76%,13,7.8h,"策略, 即时战略"
龙腾世纪™: 影障守护者,¥ 298.00,68%,"40,383",39.0h,策略
ASMR,免费开玩,6 篇用户评测,6,37.5h,策略
HyperLeague Heroes,¥ 15.00,67%,34,125.2h,策略
Dodo Life,¥ 0.00,,,,策略
cat gathers ten,¥ 0.00,,,,策略
Einherjar,免费开玩,8 篇用户评测,8,9.3h,"策略, 即时战略"
Shah Mat!,¥ 0.00,,,,策略
Gummings,¥ 6.00,4 篇用户评测,4,2.2h,策略
Where's My Horse? An Escape the Room Adventure,¥ 18.00,5 篇用户评测,5,1.8h,策略
Idler Coaster,¥ 0.00,,,,策略
Dungeon Runner XZ,免费开玩,65%,23,9.7h,策略
The Unearthened - Complete Edition,¥ 33.00,4 篇用户评测,4,1.2h,"塔防, 策略"
游戏开发物语 (Game Dev Story),¥ 38.00,90%,"1,309",7.5h,策略
Lichkeeper,免费开玩,91%,12,7.2h,塔防
Seres,¥ 0.00,,,,策略
Ruins Of Mitriom,免费,94%,99,3.9h,策略
RocketBallZ,¥ 0.00,,,,策略
Boba Simulator : Idle Shop Management,¥ 18.00,84%,308,5.4h,策略
Kingdom's Life,¥ 29.99,64%,224,3.8h,"策略, 4X"
Return of the Host,¥ 6.00,2 篇用户评测,2,1.4h,策略
Militaristic Rain Of Terror,¥ 0.00,,,,策略
Incursion: Reforged,¥ 22.00,77%,18,1.4h,策略
无限投影,¥ 6.00,58%,214,32.2h,策略
AMaze DOS,¥ 30.00,71%,32,6.2h,策略
Clarent Saga: Chronicles,¥ 21.00,91%,12,2.2h,策略
Era Dream : Rose,免费,74%,31,4.3h,策略
Wildmagic Wizardry,¥ 0.00,,,,策略
Mistward,¥ 24.00,58%,68,2.4h,策略
Age,¥ 308.00,1 篇用户评测,1,2.2h,策略
The Fourth Sense Evolution: Stone Age,¥ 0.00,,,,策略
Prezzies,¥ 29.00,,,2.1h,策略
Spaceport Trading Company,¥ 58.00,90%,32,3.0h,策略
破境,¥ 26.00,5 篇用户评测,5,1.1h,策略
感染 - 超级士兵计划,¥ 42.99,3 篇用户评测,3,8.3h,策略
Merchant's Odyssey,¥ 0.00,,,,策略
Sliding,¥ 11.00,2 篇用户评测,2,1.8h,策略
Cyber Fish King,¥ 10.80,1 篇用户评测,1,5.0h,策略
"Die, Pablo! - A tower defense adventure",¥ 15.00,2 篇用户评测,2,21.4h,"塔防, 策略"
魔釜小女巫,¥ 58.00,92%,"1,501",27.5h,策略
Morphscape: The Stylized Prop Pursuit,¥ 0.00,,,,策略
Jinshin,¥ 58.00,4 篇用户评测,4,7.2h,策略
Idle Mall Tycoon,免费开玩,31%,45,4.5h,策略
幽灵尖叫,¥ 42.00,78%,652,6.9h,策略
艺术即是爆炸 - Art is Boom,¥ 18.00,4 篇用户评测,4,4.8h,策略
Perfect Teams,¥ 76.00,100%,19,6.3h,"卡牌游戏, 策略"
Chessium: 3D Chess Battle,¥ 0.00,,,,策略
Against The Tide,¥ 0.00,,,,策略
Aftermath,¥ 26.00,1 篇用户评测,1,1.2h,策略
Tile Ruler,¥ 11.00,,,,策略
Lord Clicker,¥ 15.00,7 篇用户评测,7,,"策略, 塔防"
Robots Shooting Simulator,¥ 6.00,41%,12,0.6h,策略
Maze Quest Master,¥ 11.00,,,1.1h,策略
Endless Desert TD,¥ 29.00,1 篇用户评测,1,1.4h,"塔防, 策略"
Masada,¥ 0.00,,,,"即时战略, 策略"
Pixel Princess Arena,¥ 0.00,,,,策略
吉星派对,免费开玩,54%,"20,266",26.4h,"策略, 卡牌游戏"
影视界,¥ 15.00,,,0.8h,策略
凝视比赛,¥ 22.00,6 篇用户评测,6,2.0h,策略
武林奇才,¥ 10.00,70%,17,4.2h,"策略, 卡牌游戏"
"Hue, Pulse",¥ 0.00,,,,策略
城堡大师游戏,¥ 42.00,1 篇用户评测,1,3.4h,"策略, 塔防"
Dreamworld Dread,¥ 0.00,,,,"策略, 卡牌游戏"
Nonograms,免费开玩,81%,85,19.3h,策略
The Mothering,¥ 0.00,,,,卡牌游戏
Dobbel Dungeon,¥ 76.00,92%,390,7.1h,策略
House Master,¥ 0.00,,,,策略
Battle Simulator: Counter Stickman,¥ 15.00,75%,29,8.3h,"策略, 即时战略"
Xenoterrestrial,¥ 15.00,1 篇用户评测,1,1.9h,策略
Chess Mess,¥ 0.00,,,,策略
Xenomycology,¥ 0.00,,,,"策略, 塔防"
God & Charlotte,¥ 0.00,,,,"卡牌游戏, 策略"
Quiverless,¥ 8.30,3 篇用户评测,3,,策略
小鹿牌的秘密,¥ 0.00,,,,策略
BankingSim,¥ 0.00,,,,策略
推手: Sokoban,¥ 6.00,无用户评测,,3.1h,策略
Wonderstries,¥ 42.00,,,3.8h,策略
四面楚歌,¥ 0.00,,,,"策略, 卡牌游戏"
hgmGame-butterfly,¥ 109.00,无用户评测,,4.3h,4X
黄金矿工:经典版,¥ 16.69,82%,299,3.8h,策略
Crabageddon,¥ 15.00,1 篇用户评测,1,,塔防
Ants: Leaf-al Warfare,免费开玩,66%,12,13.6h,策略
剑啸长河,¥ 0.00,,,,策略
Color Pathways,¥ 11.00,3 篇用户评测,3,2.5h,策略
IPS 13: All Signals Lost,¥ 0.00,,,,策略
Three Finger,¥ 42.00,无用户评测,,,"策略, 卡牌游戏"
12 Labours of Hercules XVIII: Ghost Sheep,¥ 48.00,6 篇用户评测,6,15.1h,策略
Bear Defence Situation,¥ 0.00,,,,"塔防, 策略, 卡牌游戏"
Chess of Mana,¥ 36.00,86%,15,0.5h,策略
DECON Protocol,免费开玩,56%,41,69.7h,策略
Bar at the Edge of Papillon,¥ 0.00,,,,策略
Raccoons to Riches,¥ 0.00,,,,"策略, 卡牌游戏"
Wall Brawl,¥ 0.00,,,,"策略, 塔防"
Architect of Ruin,¥ 0.00,,,,策略
Scorchwalkers,¥ 0.00,,,,"卡牌游戏, 策略"
青云防守,¥ 18.00,1 篇用户评测,1,0.8h,"塔防, 策略"
弹球英雄,¥ 7.20,77%,18,5.2h,塔防
Gyre,¥ 6.00,1 篇用户评测,1,2.7h,策略
马桶英雄,¥ 0.00,,,,"策略, 卡牌游戏"
Lanternwood,¥ 0.00,,,,策略
Countryballs: Power Protocol,¥ 42.00,73%,108,5.0h,策略
MODULE,¥ 0.00,,,,策略
独奏骑士,免费开玩,21%,14,4.5h,策略
A Cat in the Cangaço,¥ 0.00,,,,"策略, 卡牌游戏"
Shape Blast,¥ 0.00,,,,策略
Baazi,¥ 22.00,1 篇用户评测,1,3.2h,"策略, 卡牌游戏"
地心工业线 Chipmatic,¥ 0.00,,,,策略
水果厨房,¥ 6.00,1 篇用户评测,1,0.3h,"策略, 即时战略"
Astral Sanctum,¥ 0.00,,,,策略
Ogopogo,¥ 15.00,1 篇用户评测,1,0.0h,策略
Smithy By Day,¥ 0.00,,,,卡牌游戏
DONTCRUSH,¥ 15.00,无用户评测,,0.1h,策略
Knights & Towers,¥ 18.00,3 篇用户评测,3,,"策略, 塔防"
Object Factory,¥ 29.00,2 篇用户评测,2,1.8h,"策略, 即时战略"
Odds & Orbs,¥ 0.00,,,,"策略, 卡牌游戏"
Box Box Box!,¥ 0.00,,,,策略
Floorball League 2010,¥ 42.00,90%,74,3.5h,策略
Tidewake,¥ 0.00,,,,策略
Beatrix,¥ 0.00,,,,"卡牌游戏, 策略"
VALENCE,¥ 0.00,,,,"策略, 卡牌游戏"
Doomed Dwarves,¥ 0.00,,,,策略
Ressolve Steps,免费开玩,2 篇用户评测,2,4.4h,策略
HOPE,¥ 0.00,,,,策略
Teryndor: Caelorn’s Quest,¥ 17.64,4 篇用户评测,4,,"策略, 塔防"
Grammar Grind,¥ 42.00,4 篇用户评测,4,4.5h,策略
Havenreach: Last Refuge,¥ 0.00,,,,"策略, 4X"
东洲归途 Eastern Odyssey : Homeward,¥ 0.00,,,,策略
东北往事,¥ 0.00,,,,策略
Triste,¥ 0.00,,,,"策略, 塔防"
Lost Artifacts The Ghost of Florence,¥ 58.00,2 篇用户评测,2,4.8h,策略
Soulsworn,¥ 0.00,,,,"卡牌游戏, 策略"
Battleships Simulator,¥ 0.00,,,,策略
1111-Strike,¥ 0.00,,,,策略
Challengers Of The Realm TCG,¥ 0.00,,,,"策略, 卡牌游戏"
Parallel Dungeons,¥ 26.00,7 篇用户评测,7,0.1h,"策略, 卡牌游戏"
束魂,¥ 29.00,无用户评测,,3.5h,策略
即时象棋：旧棋新弈 Hyper Chinese Chess,¥ 10.00,76%,47,0.7h,"策略, 即时战略"
Purrfect  Stall,免费,9 篇用户评测,9,3.0h,策略
Erebound,¥ 0.00,,,,塔防
Resources Assemble!,¥ 0.00,,,,策略
Ghost Node,¥ 0.00,,,,策略
No Mercy Maze,¥ 18.00,,,,策略
地獄楽 パラダイスバトル,¥ 0.00,,,,卡牌游戏
Mage On The Move,¥ 0.00,,,,策略
三国志BOND,¥ 0.00,,,,策略
Camp Slaughter,¥ 0.00,,,,策略
永夜的莱恩,¥ 0.00,,,,"策略, 卡牌游戏"
铸星工厂,¥ 0.00,,,,"策略, 塔防, 即时战略"
Chop Signal,¥ 0.00,,,,策略
摸鱼争霸,¥ 0.00,,,,策略
The Resonant,¥ 0.00,,,,策略
Olivia's World: Crystal Keep,¥ 22.00,无用户评测,,0.9h,"塔防, 策略"
Tavern Defense,¥ 0.00,,,,"塔防, 策略, 卡牌游戏"
IRON SIGHT,¥ 22.00,5 篇用户评测,5,,"策略, 即时战略"
Emoji小队,¥ 0.00,,,,策略
奇迹魔法师：元素觉醒,¥ 0.00,,,,策略
Embercore,¥ 0.00,,,,策略
砍价模拟器,¥ 0.00,,,,策略
Stickerino,¥ 0.00,,,,"策略, 卡牌游戏"
Gargadusa's Tower,¥ 36.00,89%,120,30.6h,策略
The Secret of Island of Fear,¥ 0.00,,,,策略
Bumpers & Dragons,¥ 0.00,,,,策略
Entropy Department,¥ 0.00,,,,策略
Void Salvage,¥ 0.00,,,,"策略, 塔防"
Dice Goblins Clicker,¥ 21.58,78%,33,9.5h,策略
Ghostpunk,¥ 0.00,,,,策略
守卫家园,¥ 0.00,,,,"塔防, 策略"
Wordforge: Silent Letters,¥ 0.00,,,,策略
Argonauts Agency: Secret of the Labyrinth,¥ 76.00,,,0.3h,策略
卡牌求生：阴暗航线,¥ 0.00,,,,卡牌游戏
Wyvern,¥ 0.00,,,,"策略, 即时战略"
AFK Tactics,¥ 0.00,,,,策略
Mech My Day,¥ 11.00,,,,塔防
Catnip Cosmos,¥ 0.00,,,,策略
Once Upon a Page,¥ 0.00,,,,卡牌游戏
挂机升级打怪兽,¥ 28.00,75%,12,53.7h,策略
Gamble: Hard Exit,¥ 0.00,,,,策略
Horn of the Warlord,¥ 0.00,,,,"策略, 4X"
Balls & Gamble,¥ 0.00,,,,策略
Only Mining - Cozy Digging Game,¥ 18.00,74%,27,4.9h,策略
Disharmony,¥ 0.00,,,,策略
独居日志：插画家之梦,¥ 0.00,,,,策略
