游戏名称,价格,好评率,好评人数,平均游玩时长,标签
The Curator,¥ 0.00,,,,隐藏物体
cat gathers ten,¥ 0.00,,,,指向点击
Mystery Trackers: Queen of Hearts Collector's Edition,¥ 76.00,60%,10,3.1h,"隐藏物体, 指向点击"
Gates of Siberia: Wildlands,¥ 0.00,,,,隐藏物体
Burnhouse Lane,¥ 50.00,94%,959,10.1h,解谜
Refraction: Beyond the Mirror,¥ 32.00,90%,10,0.8h,解谜
The First Odyssey,免费开玩,30%,26,9.4h,解谜
Sanctus,¥ 0.00,,,,解谜
KiNoKoe : Tree's Voice,¥ 42.00,2 篇用户评测,2,8.9h,"解谜, 隐藏物体"
Gummings,¥ 6.00,4 篇用户评测,4,2.2h,解谜
Shores of Loci,¥ 50.00,91%,46,1.4h,解谜
Where's My Horse? An Escape the Room Adventure,¥ 18.00,5 篇用户评测,5,1.8h,"解谜, 隐藏物体"
Idler Coaster,¥ 0.00,,,,指向点击
Missing Mildred,¥ 22.00,2 篇用户评测,2,1.1h,解谜
11F,¥ 36.00,83%,166,2.2h,解谜
Satan's puzzle 666,¥ 15.00,80%,47,0.9h,解谜
Tokyo Detectives 东京侦探,免费开玩,69%,56,3.1h,指向点击
约翰尼·男孩: 红月之吻,¥ 57.00,8 篇用户评测,8,2.1h,指向点击
Mathomatics,¥ 18.00,,,1.1h,解谜
Save Da Frogs,¥ 0.00,,,,解谜
FREEZEFRAME,¥ 11.00,无用户评测,,1.3h,解谜
Tatari,¥ 39.00,57%,19,2.1h,隐藏物体
Return of the Host,¥ 6.00,2 篇用户评测,2,1.4h,解谜
Jigsaw Souls,¥ 15.00,100%,15,2.6h,"解谜, 指向点击"
STARTMOVE,免费开玩,51%,37,48.4h,隐藏物体
Mysterious House,¥ 3.00,91%,23,5.4h,解谜
AMaze DOS,¥ 30.00,71%,32,6.2h,解谜
Pirates of the Maverta,¥ 42.00,2 篇用户评测,2,2.8h,解谜
Maverta Island,¥ 42.00,无用户评测,,4.9h,解谜
Era Dream : Rose,免费,74%,31,4.3h,解谜
FEAR: Call of the village,¥ 0.00,,,,"隐藏物体, 解谜"
Nightmare of Decay,¥ 22.00,95%,"4,073",4.3h,解谜
Foolish Mortals,¥ 76.00,95%,457,9.4h,"指向点击, 解谜"
Fruit Salad,¥ 11.00,95%,281,8.4h,解谜
Dracula's Prey - A Nightmare in Rome,¥ 0.00,,,,"解谜, 隐藏物体"
Mossy Pixels,免费,94%,102,3.0h,指向点击
Death of Marionette,¥ 7.50,92%,53,3.5h,解谜
Oversleep,¥ 15.00,2 篇用户评测,2,1.9h,解谜
A Taste of History,¥ 42.00,,,,解谜
Prezzies,¥ 29.00,,,2.1h,"指向点击, 解谜"
Exp10sion,¥ 11.00,100%,19,1.0h,解谜
Schlosshelden,免费,8 篇用户评测,8,11.0h,解谜
Forgotten Hill The Third Axis,免费开玩,78%,103,2.4h,"指向点击, 解谜"
Musical Dominotes,¥ 0.00,,,,解谜
BAFF Halloween,¥ 11.00,5 篇用户评测,5,8.1h,解谜
77th: The Game,免费开玩,63%,47,39.8h,解谜
Doctor Arcana and The Secret of Shadowspire,¥ 58.00,100%,14,5.2h,"解谜, 指向点击"
Daymare Town,¥ 92.00,99%,103,10.4h,"指向点击, 解谜, 隐藏物体"
Sliding,¥ 11.00,2 篇用户评测,2,1.8h,解谜
Fallen Ninja,¥ 6.00,68%,16,3.4h,隐藏物体
Cyber Fish King,¥ 10.80,1 篇用户评测,1,5.0h,指向点击
Animated Jigsaw Puzzles,¥ 22.00,100%,10,9.6h,解谜
Morphscape: The Stylized Prop Pursuit,¥ 0.00,,,,隐藏物体
幽灵尖叫,¥ 42.00,78%,652,6.9h,解谜
Stamped: an anti-travel game,免费,7 篇用户评测,7,9.5h,指向点击
Halloween Trouble 5,¥ 23.40,,,7.1h,解谜
Incredible Dracula: Dark Carnival,¥ 29.00,88%,17,10.1h,解谜
Tracks of the Arcana,¥ 22.00,3 篇用户评测,3,0.2h,解谜
屋檐之下,免费开玩,50%,10,7.1h,指向点击
Jery Mice vs Cats: Home Invasion,¥ 0.00,,,,解谜
Tile Ruler,¥ 11.00,,,,解谜
Hexillume,¥ 9.00,1 篇用户评测,1,0.9h,解谜
SCP: Containment Chaos,¥ 0.00,,,,解谜
Lord Clicker,¥ 15.00,7 篇用户评测,7,,指向点击
Maze Quest Master,¥ 11.00,,,1.1h,解谜
The Elision Effect,¥ 15.00,94%,157,0.8h,解谜
SurviBall,免费开玩,84%,33,3.0h,解谜
Railway Islands 2 - Puzzle,¥ 22.00,90%,31,4.8h,解谜
Reconnoitre,¥ 52.00,1 篇用户评测,1,0.2h,指向点击
影视界,¥ 15.00,,,0.8h,解谜
Detective Fantasia: EXCALIMURDER,¥ 0.00,,,,解谜
凝视比赛,¥ 22.00,6 篇用户评测,6,2.0h,指向点击
TASOKARE HOTEL Re:newal,¥ 286.00,83%,65,10.6h,指向点击
Aurule Dynasty,¥ 0.00,,,,隐藏物体
Lost Chronicles,免费开玩,70%,82,12.7h,"指向点击, 隐藏物体"
Nonograms,免费开玩,81%,85,19.3h,解谜
Tube Be Continued,¥ 58.00,1 篇用户评测,1,,解谜
Adhd Arena,¥ 18.00,,,,指向点击
God & Charlotte,¥ 0.00,,,,"解谜, 隐藏物体"
Noctheria,¥ 0.00,,,,解谜
2048x2048,¥ 15.00,1 篇用户评测,1,1.6h,解谜
小鹿牌的秘密,¥ 0.00,,,,解谜
NEKRO3,¥ 15.00,2 篇用户评测,2,1.2h,解谜
推手: Sokoban,¥ 6.00,无用户评测,,3.1h,解谜
Enchanted Stories: PAWisoned Kingdom Collector's Edition,¥ 18.00,6 篇用户评测,6,5.1h,"隐藏物体, 解谜, 指向点击"
Born for the Light ~Wavelength Radiant Collapse~,¥ 0.00,,,,指向点击
Festival Journey: Venetian Masquerade Collector's Edition,¥ 48.00,,,0.4h,"隐藏物体, 解谜, 指向点击"
Letters of War,¥ 42.00,84%,13,2.0h,"指向点击, 解谜"
The Alchemist Of Alderglen,¥ 0.00,,,,指向点击
Lots of Cats on an Adventure,免费开玩,93%,528,3.0h,"隐藏物体, 指向点击, 解谜"
Ugly Mansion,¥ 0.00,,,,解谜
BallStack,¥ 15.00,,,,解谜
Find The Cat: Nightmare,¥ 18.00,50%,12,3.1h,"隐藏物体, 解谜, 指向点击"
Color Pathways,¥ 11.00,3 篇用户评测,3,2.5h,"解谜, 指向点击"
<Kobako> Night Detention | 夜の居残り,¥ 0.00,,,,指向点击
Shoot Your Pal,¥ 0.00,,,,解谜
Uncle Lee’s Cookbook: Five Recipes for Disaster,¥ 0.00,,,,"指向点击, 解谜"
Scrutator Tenebris,¥ 0.00,,,,解谜
12 Labours of Hercules XVIII: Ghost Sheep,¥ 48.00,6 篇用户评测,6,15.1h,解谜
Ward 777 - الجناح 777,¥ 6.60,75%,20,1.6h,解谜
Joyful Masks,¥ 0.00,,,,解谜
Colorbound,¥ 0.00,,,,解谜
FrostCore,¥ 6.00,2 篇用户评测,2,2.0h,隐藏物体
