游戏名称,价格,好评率,好评人数,平均游玩时长,标签
Mimetic - Prop hunt hide and seek,¥ 36.00,83%,12,0.1h,射击
Galaxy ONE,¥ 62.00,,,,"射击, 第一人称射击"
"Agoraphobia ""Knock Knock""",¥ 6.00,29%,24,3.5h,第一人称射击
Cosmica,¥ 28.00,2 篇用户评测,2,0.1h,战术
The LastOnesLeft,¥ 26.00,60%,23,1.4h,第一人称射击
Godspell Defender,¥ 11.00,66%,15,3.0h,射击
VR Fighter Jets War,¥ 4.80,4 篇用户评测,4,2.8h,"射击, 第一人称射击, 第三人称射击"
幻灵降世录,¥ 179.00,70%,"1,682",17.7h,战术
拯救心脏星,¥ 35.00,2 篇用户评测,2,0.2h,"第三人称射击, 射击"
Memento Infernum,免费开玩,94%,17,6.8h,射击
Enemy Engaged: Apache vs Havoc,¥ 26.00,5 篇用户评测,5,3.7h,射击
L.S.D.: Prologue to Lasting Spiritual Derangement,免费开玩,80%,266,1.7h,射击
Enemy Engaged 2: Desert Operations,¥ 36.00,40%,15,3.4h,射击
Combat Labs,¥ 11.00,7 篇用户评测,7,2.0h,"射击, 第一人称射击"
The Great Menace,¥ 0.00,,,,战术
Earth Guard: Egypt,免费开玩,8 篇用户评测,8,7.0h,第一人称射击
Survive Into Night,¥ 22.00,3 篇用户评测,3,0.9h,射击
四色战队: Ultra Sentai Color Ranger,¥ 52.00,96%,26,1.2h,射击
Gethaut,¥ 39.00,,,,"射击, 第一人称射击"
Operation Thunder,¥ 22.00,100%,12,1.0h,"射击, 战术"
Super Sunny Island,¥ 22.00,95%,20,1.3h,射击
Super Mega Zero,¥ 37.00,100%,25,4.3h,射击
Wild Wild Chess,¥ 5.50,90%,21,23.6h,射击
Sanctuary Saga,¥ 50.00,8 篇用户评测,8,1.0h,战术
Fast Finger Rule,免费开玩,8 篇用户评测,8,10.7h,射击
ALL OUT WAR : Welcome To The Front,¥ 0.00,,,,"第一人称射击, 第三人称射击"
Mercenaries Blaze,¥ 70.00,75%,555,12.6h,战术
ASV Trident,¥ 0.00,,,,战术
Recapture the Castle,¥ 6.00,51%,29,0.9h,"射击, 第一人称射击, 第三人称射击"
Last Group Out,¥ 37.00,81%,457,11.2h,射击
PURGE - Three vs Blood,¥ 21.75,47%,17,3.7h,"第三人称射击, 射击"
Check x Mate,¥ 0.00,,,,战术
佣兵猎手,¥ 70.00,68%,618,5.8h,"第一人称射击, 射击, 战术"
SPEARHEAD,免费开玩,94%,78,3.4h,射击
The Legend of the War Axe,¥ 11.00,9 篇用户评测,9,3.7h,"射击, 第三人称射击"
战车指挥官,免费开玩,58%,29,9.0h,射击
Galactic Wars EX,¥ 32.00,85%,21,1.0h,射击
Warhammer Age of Sigmar: Realms of Ruin,¥ 57.10,55%,"1,815",6.3h,战术
Termina,¥ 26.00,5 篇用户评测,5,,射击
Krampus Kills,¥ 50.00,87%,65,2.2h,"射击, 第一人称射击"
Drug Lords,¥ 0.00,,,,"射击, 战术"
Dungeonball,¥ 11.00,90%,11,1.7h,射击
Aimlabs VR,免费,49%,154,10.0h,"第一人称射击, 射击, 战术"
Darkness Battle,¥ 33.00,,,7.3h,第一人称射击
MOLOGA,¥ 6.00,6 篇用户评测,6,5.6h,"第一人称射击, 射击"
Einherjar,免费开玩,8 篇用户评测,8,9.3h,战术
The First Odyssey,免费开玩,30%,26,9.4h,"第一人称射击, 射击"
Lilium Reach,¥ 0.00,,,,射击
Shah Mat!,¥ 0.00,,,,战术
Skeletons,¥ 11.00,7 篇用户评测,7,2.0h,第一人称射击
Honored,免费开玩,72%,40,6.5h,"射击, 第一人称射击"
Jet Fighters with Friends  (Multiplayer),¥ 4.20,7 篇用户评测,7,0.5h,射击
雷鸟Thunderbird,¥ 26.00,87%,16,3.8h,射击
Keyworker Simulator,¥ 0.00,,,,射击
HiddenFrog,¥ 6.00,7 篇用户评测,7,2.4h,第一人称射击
Militaristic Rain Of Terror,¥ 0.00,,,,"射击, 第一人称射击, 战术"
STARTMOVE,免费开玩,51%,37,48.4h,射击
