游戏名称,价格,好评率,好评人数,平均游玩时长,标签
Purplis Sandbox,¥ 22.00,66%,183,2.8h,"模拟, 建造"
Brickmasters,¥ 0.00,,,,"模拟, 建造"
Muslim 3D,¥ 126.00,90%,20,512.1h,模拟
Drunk Soccer is the Best Soccer,¥ 6.00,85%,40,1.2h,模拟
DreamScapes Dimensions,免费开玩,43%,83,24.6h,建造
Children's Jigsaw Puzzles,¥ 18.00,2 篇用户评测,2,3.5h,模拟
FarmZone,¥ 0.00,,,,建造
Epic City Builder 4,¥ 7.00,72%,25,1.7h,建造
Range is HOT!,¥ 90.00,75%,40,1.9h,模拟
中年失业模拟器When a man lose his job,¥ 29.00,78%,344,8.7h,模拟
The Alpha 001,¥ 15.00,3 篇用户评测,3,0.9h,黑客
Aery - A Journey Beyond Time,¥ 18.50,90%,61,50.9h,模拟
Tomorrow,免费开玩,71%,56,2.2h,模拟
Hover Ship,¥ 6.00,1 篇用户评测,1,2.1h,模拟
Playground VR,¥ 37.00,8 篇用户评测,8,1.0h,模拟
Grandiose,¥ 11.00,68%,160,0.7h,"建造, 农场模拟"
Happy Day,¥ 3.08,27%,18,1.4h,模拟
循环世界,免费开玩,68%,22,5.0h,模拟
太荒初境,¥ 68.00,38%,"12,572",70.2h,建造
Maze Party,¥ 26.00,3 篇用户评测,3,14.2h,模拟
Zero-G Revolution,免费,6 篇用户评测,6,9.4h,模拟
Arc Wizards 3,¥ 33.00,1 篇用户评测,1,15.2h,模拟
Find Yourself,¥ 29.00,84%,"1,172",1.8h,模拟
그랑 엠파이어,免费开玩,93%,204,7.9h,模拟
Fractal Evolution,¥ 0.00,,,,模拟
Little Lives,¥ 52.00,82%,245,6.1h,模拟
RETRIS,¥ 15.00,90%,11,3.5h,建造
Renovators,¥ 0.00,,,,"模拟, 建造"
Lunar Base Camp 2030+,¥ 11.00,1 篇用户评测,1,2.7h,模拟
FRIGID VR,¥ 0.00,,,,"模拟, 建造"
The SOL Device 2,免费开玩,9 篇用户评测,9,6.4h,建造
Recontact London: Cyber Puzzle,¥ 15.00,35%,17,2.3h,模拟
Orc Warchief: Strategy Story,¥ 0.00,,,,"模拟, 建造"
MOON BASE,免费开玩,58%,84,4.2h,模拟
Asteroids Belt: Try to Survive!,¥ 6.00,91%,24,2.3h,模拟
VR创造女郎,¥ 9.31,69%,65,2.0h,模拟
The Ramp,¥ 26.00,95%,"1,094",2.2h,模拟
Battle Cube,¥ 6.00,74%,35,2.8h,模拟
Minicraft Shooter,¥ 3.00,18%,11,4.8h,模拟
Horror Tycoon,¥ 58.00,61%,91,1.2h,"建造, 模拟"
Smoked Gun,¥ 6.00,72%,29,1.1h,模拟
Poop,免费开玩,58%,301,294.5h,模拟
Cannon Lab 13,¥ 6.00,3 篇用户评测,3,0.8h,模拟
Apollo 3000: Wild Space,¥ 0.00,,,,模拟
Childkin: Tiny Adventures,¥ 0.00,,,,"模拟, 建造"
Vamp Night,¥ 11.00,77%,18,1.5h,模拟
Cold Wind,¥ 3.00,33%,15,3.1h,模拟
Bloomee,¥ 50.00,2 篇用户评测,2,0.1h,模拟
Space Warlord Organ Trading Simulator,¥ 70.00,92%,798,3.1h,"模拟, 建造"
Witch Strandings,¥ 50.00,70%,34,1.0h,模拟
Race - Total Toon Race,¥ 11.00,1 篇用户评测,1,1.9h,模拟
Doki Doki Ragnarok,¥ 42.00,94%,18,1.5h,模拟
My Garage,¥ 92.00,91%,"3,682",62.9h,"模拟, 建造"
Aviano,¥ 26.00,6 篇用户评测,6,1.4h,模拟
Aero Battle,¥ 3.33,72%,11,5.9h,模拟
Grammarian Ltd,¥ 37.00,89%,46,3.6h,模拟
Vampire Clans,¥ 0.00,,,,建造
Yupitergrad 🚀: Sneaki Peaki (Virtual Reality Adventure),免费,98%,52,3.4h,模拟
Trolley Simulator,¥ 0.00,,,,模拟
Riot Control Simulator,¥ 0.00,,,,模拟
Disc Golf Valley VR,¥ 70.00,71%,73,5.1h,模拟
Birb Café,¥ 37.00,78%,14,2.5h,模拟
Shadow Tactics: 爱子的选择 Aiko's Choice,¥ 80.00,93%,"3,889",9.1h,建造
Guardians of the Wild Sky,¥ 0.00,,,,建造
Deerstalker,¥ 0.00,,,,模拟
NULLPTR,¥ 50.00,100%,11,2.9h,黑客
Sol Dorado Heist,¥ 22.00,4 篇用户评测,4,1.0h,模拟
Brave Deeds of Rescue Team,¥ 35.00,86%,43,10.0h,建造
百家谜案集:温迪的家2,¥ 6.00,50%,12,2.3h,模拟
Gnomepunk,¥ 0.00,,,,"模拟, 建造"
Rune Factory 4 Special,¥ 190.00,88%,"1,981",23.9h,农场模拟
Seaport Tycoon,¥ 0.00,,,,"建造, 模拟"
VR Fighter Jets War,¥ 4.80,4 篇用户评测,4,2.8h,模拟
Hunted: Kobayashi Tower,¥ 22.00,100%,19,1.1h,模拟
SHIBUYA SUSHI MASTER,¥ 0.00,,,,模拟
九霄仙途,¥ 23.80,77%,93,46.5h,模拟
It's Not Rocket Science!,¥ 18.00,1 篇用户评测,1,0.2h,建造
The Trigger,¥ 26.00,80%,10,1.6h,模拟
Enemy Engaged: Apache vs Havoc,¥ 26.00,5 篇用户评测,5,3.7h,模拟
Food Delivery Service,¥ 15.00,66%,30,1.6h,模拟
百年王国,¥ 94.00,78%,78,6.0h,"建造, 模拟"
Enemy Engaged 2: Desert Operations,¥ 36.00,40%,15,3.4h,模拟
The Legend of Bear-Truck Trucker,¥ 22.00,97%,48,5.1h,模拟
