排名,游戏名称,性价比得分,归一化时长,修正好评率,正向化价格
208,Parcel Corps,0.162610,0.160511,0.619385,0.748871
209,ZHP: Unlosing Ranger vs. Darkdeath Evilman,0.162560,0.157670,0.828695,0.810948
210,F-Rank hero story,0.162256,0.156250,0.894382,0.810525
211,东方心之解束~Saving from the devil,0.162167,0.154830,0.965262,0.946388
212,Master Key,0.160969,0.154830,0.898102,0.946388
213,I wish it was morning all the time,0.158931,0.151989,0.935596,0.977427
214,Secrets of Magic 5: Back to School,0.158497,0.151989,0.911500,0.984763
215,轩辕剑伍 一剑凌云山海情,0.158303,0.156250,0.607719,0.898420
216,Royal Order,0.158216,0.151989,0.896254,0.754515
217,Babel of Ystilia,0.158144,0.150568,0.965667,0.915350
218,Total Tank Generals (全面坦克战略官）,0.158144,0.154830,0.711842,0.897856
219,Sand: A Superfluous Game,0.158016,0.151989,0.884185,0.937359
220,银白钢铁伊克斯 2,0.158001,0.154830,0.701296,0.774266
221,樱姬3,0.157827,0.150568,0.948730,0.972912
222,晴空农场物语 (Pocket Harvest),0.157724,0.151989,0.867115,0.901242
223,Solar Nations 2,0.157002,0.150568,0.903805,0.889955
224,Click Here,0.156773,0.150568,0.890511,0.991535
225,Spider Hunter,0.155902,0.151989,0.749563,1.000000
226,时尚洋品店物语 (Pocket Clothier),0.155158,0.150568,0.792563,0.901242
227,Range,0.154384,0.146307,0.978442,0.966140
228,播洛森：星原之种,0.154039,0.147727,0.889454,0.839165
229,我的时光,0.153986,0.149148,0.804867,0.991535
230,终极僵尸防御2,0.153449,0.149148,0.770413,0.889955
231,Cato the cat,0.152713,0.147727,0.810852,0.977427
232,Infested Fortress,0.151477,0.146307,0.819413,0.794018
233,黄金之岛,0.151128,0.144886,0.877917,0.844808
234,后汉稽异录,0.150589,0.143466,0.921123,0.981123
235,HOT WHEELS UNLEASHED? 2 - Turbocharged,0.150525,0.146307,0.760312,0.164786
236,Barton Lynch Pro Surfing,0.150410,0.144886,0.837691,0.534424
237,Magic and Elements,0.150326,0.146307,0.745107,0.923815
238,东方王朝-丝路保卫战,0.149031,0.144886,0.750547,0.906885
239,Philosophical Jigsaw - The Zen Koans,0.148741,0.140625,0.962920,0.977427
240,oiia,0.147835,0.142045,0.844469,0.993567
241,Voice of Cards: The Forsaken Maiden,0.147668,0.144886,0.653387,0.449774
242,衔尾：龙之铃 DragonLoop,0.147667,0.140625,0.908959,0.906885
243,My Truck Game,0.147574,0.142045,0.829682,0.929458
244,Old Coin Pusher Friends 2,0.147480,0.140625,0.898993,0.957675
245,Sigh of the Abyss,0.147247,0.139205,0.955399,0.816591
246,Spirits of the Hellements - TD,0.146704,0.139205,0.928241,0.892777
247,星穹遗迹,0.145388,0.140625,0.780208,0.983070
248,Elohim Eternal: The Babel Code,0.144976,0.137784,0.908544,0.889955
249,Kingsvein,0.144967,0.137784,0.908361,0.794018
250,風色幻想SP:封神之刻,0.144957,0.140625,0.753047,0.985892
251,头盔人,0.144028,0.139205,0.781254,0.794018
252,建与远征,0.143931,0.134943,0.986368,0.889955
253,Love Exalt 8372,0.143824,0.134943,0.981460,0.889955
254,Dee's Nuts,0.143406,0.134943,0.961734,0.991535
255,恋爱0公里,0.143287,0.136364,0.890915,0.809819
256,Mystery of Mortlake Mansion,0.142655,0.136364,0.857298,0.932280
257,Unusual Ghost,0.142353,0.136364,0.840685,0.991535
258,Hearth's Light Potion Shop,0.141995,0.134943,0.892965,0.946388
259,Sam & Max: Beyond Time and Space,0.141329,0.132102,0.988060,0.791196
260,Crystarise,0.141127,0.136364,0.770881,0.777088
261,激战魔物娘,0.140269,0.134943,0.800285,0.862444
262,Trust No Bunny,0.139973,0.132102,0.924894,0.935102
263,妖精的尾巴 地下迷城,0.139852,0.132102,0.919261,0.870203
264,Draft Day Sports: Pro Football 2022,0.139655,0.137784,0.562920,0.794018
265,Disney Illusion Island Starring Mickey and Friends,0.139519,0.132102,0.903531,0.703725
266,Blossom Tales II: The Minotaur Prince,0.139408,0.132102,0.897601,0.867381
267,Dark Mine,0.139001,0.133523,0.804867,0.983070
268,SeaOrama: World of Shipping,0.138487,0.136364,0.583136,0.794018
269,法术圆盘,0.137910,0.130682,0.889605,0.844808
270,SGS Fall Weiss,0.137418,0.130682,0.865137,0.782731
271,Avia corporation,0.137279,0.136364,0.459460,0.935102
272,Bullet Hell Monday,0.136498,0.127841,0.948082,0.892777
273,Mall Rivals,0.136039,0.130682,0.791218,0.867410
274,Lawnmower Game: Battle,0.135999,0.129261,0.860448,0.999774
275,Crestfallen: Medieval Survival,0.135937,0.133523,0.602433,0.844808
276,Music Store Simulator,0.135187,0.133523,0.537450,0.748871
277,City Zoomer,0.135131,0.126420,0.945688,0.946388
278,TitTok 3,0.134568,0.127841,0.856086,0.923815
279,Frontline Survivors,0.133760,0.126420,0.881942,0.968115
280,传说之始,0.133635,0.129261,0.729854,0.952032
281,Contract Rush DX,0.133430,0.123580,0.985615,0.931433
282,仙剑客栈,0.132984,0.130682,0.588034,0.929458
283,维度之间：无畏战舰设计师,0.132725,0.130682,0.566919,0.816591
284,白夜星魂 Souls of White Star,0.132702,0.126420,0.829476,0.901242
285,氧气,0.132112,0.127841,0.720596,0.884312
286,Mythargia,0.132051,0.125000,0.863845,0.935102
287,Pocket City 2,0.132045,0.123580,0.925492,0.926637
288,山札！　二合处,0.131681,0.122159,0.966880,0.887133
289,Legendary Heroes Survivors,0.131540,0.123580,0.902434,0.966140
290,The Way Home: Pixel Roguelike,0.131536,0.123580,0.902429,0.904063
291,STRIDEN,0.131226,0.127841,0.663451,0.867381
292,Liminal Border Part IV,0.130163,0.126420,0.684156,0.877540
293,Forgotlings,0.130160,0.123580,0.836658,0.881490
294,Word Play,0.130151,0.122159,0.899552,0.915350
295,Legendary Tales: Cataclysm Collector's Edition,0.129816,0.123580,0.819308,0.889955
296,Hell Division,0.129272,0.123580,0.790552,0.995231
297,The Mobius Machine,0.128481,0.122159,0.819935,0.794018
298,Diceheart,0.128467,0.120739,0.882920,0.940773
299,造天行动 Skyformer,0.128274,0.120739,0.874161,0.883747
300,Golden Lap,0.127756,0.120739,0.849697,0.893905
301,异梦迷城,0.127737,0.123580,0.704442,0.734876
302,An Ankou,0.127376,0.123580,0.681131,0.946388
303,Waterfall Prisoner,0.127333,0.117898,0.948460,0.889955
304,SnOut 2,0.127318,0.119318,0.890718,0.957675
305,The Trials 1,0.126670,0.116477,0.974250,0.966140
306,改善,0.126637,0.117898,0.919162,0.794018
307,停留此刻 Stay in the moment,0.126343,0.119318,0.845462,0.991535
308,野靛花农场,0.126161,0.122159,0.691476,0.794018
309,TRASHMORFERS,0.125812,0.116477,0.939229,0.915350
310,Gorgon's quest,0.125790,0.116477,0.938200,0.957675
311,QUESTER,0.125708,0.117898,0.878153,0.794018
312,Block Breaker 2,0.125506,0.119318,0.804867,0.901242
313,Funfair Billionaire,0.124807,0.117898,0.835903,0.935102
314,Clutter 12: It's About Time - Collector's Edition,0.124490,0.115057,0.938200,0.967212
315,Chronos Builder,0.124486,0.123580,0.444879,0.703725
316,Help! I'm Turning Into A Mermaid!,0.124259,0.115057,0.929373,0.700903
317,Legendary Tales: Stolen Life Collector's Edition,0.124168,0.115057,0.925072,0.889955
318,梦魔猎手,0.124166,0.116477,0.868021,0.856095
319,Ragdoll: Fall and Destroy,0.124139,0.119318,0.732448,0.889955
320,SudoKube,0.123921,0.117898,0.792321,0.977427
321,REQUISITION VR,0.123874,0.120739,0.632337,0.794018
322,Celestial Force: Magical Mayhem,0.123720,0.113636,0.959696,0.915350
323,大江户物语 (Oh! Edo Towns),0.123329,0.116477,0.829083,0.901242
324,Kokoro's Gensokyo Journey: The Lost Masks,0.123186,0.113636,0.938200,0.904063
325,The Ninja Saviors: Return of the Warriors,0.122943,0.113636,0.928528,0.794018
326,Cascade Tactics,0.122760,0.116477,0.801587,0.889955
327,MAD WAY,0.122619,0.115057,0.857660,0.906885
328,二分之一,0.122570,0.117898,0.720783,0.844808
329,Denizen,0.122566,0.117898,0.720560,0.836907
330,Defend The Bits TD,0.122421,0.116477,0.784676,0.887133
331,Napoleon's Eagles: Game of the Napoleonic Wars,0.122345,0.116477,0.781384,0.717833
332,灵犀出版社物语 (Magazine Mogul),0.121830,0.112216,0.935767,0.901242
333,Path of the Abyss,0.121667,0.112216,0.929088,0.926637
334,Open Wheel Manager 2,0.121633,0.116477,0.743587,0.906885
335,最后的圣女,0.121341,0.113636,0.859440,0.946388
336,Food Factory,0.121341,0.116477,0.728017,0.816591
337,Beltex,0.121331,0.113636,0.858996,0.946388
338,Princess Maira: Initiation,0.120898,0.115057,0.775167,0.991535
339,Babysitter Simulator,0.120782,0.112216,0.892263,0.946388
340,MF-01 Aerostrike,0.120697,0.110795,0.942063,0.935102
341,Inside My Mind 2,0.120537,0.112216,0.881942,0.904063
342,Wilmot Works It Out,0.120094,0.109375,0.968888,0.844808
343,LiMiT's Escape Room Games 2,0.120005,0.110795,0.914406,0.873025
344,Dream Catcher,0.119816,0.109375,0.957864,0.966140
345,Mystery Case Files: The Riddle of Mrs. Bishop Collector's Edition,0.119650,0.112216,0.842920,0.922686
346,Flying Tank,0.119551,0.112216,0.838704,0.844808
347,Poems & Codes,0.119155,0.109375,0.932259,0.889955
348,Sole Saga,0.118975,0.115057,0.669663,0.935102
349,GUTTER: The Cursed,0.118907,0.107955,0.971909,0.989842
350,冤罪执行游戏Yurukill,0.118548,0.112216,0.792085,0.794018
351,SpongeBob: Krusty Cook-Off,0.118042,0.115057,0.610418,0.844808
352,House of Necrosis,0.118033,0.107955,0.938806,0.873025
353,星际幸存者,0.117638,0.113636,0.671349,0.946388
354,Space Trash Scavenger,0.116932,0.109375,0.839748,0.825056
355,Primitier,0.116718,0.106534,0.937853,0.794018
356,Rhapsody II: Ballad of the Little Princess,0.116208,0.107955,0.865383,0.748871
357,DunHero,0.115740,0.106534,0.899166,0.906885
358,精灵化化大冒险,0.115652,0.109375,0.780463,1.000000
359,奥尔格的復仇 ～征服的旗帜～,0.115647,0.112216,0.633318,0.937923
360,Phantom Fury,0.115599,0.112216,0.631221,0.734763
361,Digs TD,0.115200,0.110795,0.688519,0.794018
362,Tails Noir Preludes,0.115190,0.105114,0.927909,0.983634
363,地下城军团-献予魔王的少女们-,0.115008,0.106534,0.869504,0.852709
364,超级子弹娘,0.114941,0.107955,0.810054,0.760158
365,Space Reign,0.114833,0.109375,0.740982,0.794018
366,精酿酒吧模拟器,0.114604,0.112216,0.562434,0.873025
367,Mine Upgrade,0.114336,0.106534,0.840685,0.991535
368,Daily Dadish,0.114160,0.105114,0.887800,0.889955
369,ラミィの大冒険 1&2 リメイク / Rammy's Great Adventure 1 & 2 Remake,0.114049,0.105114,0.883577,0.816591
370,Color Connect VR - Puzzle Game,0.114015,0.105114,0.881942,0.904063
371,Figure Shop Simulator,0.113696,0.105114,0.868966,0.898420
372,荣耀军营,0.113678,0.107955,0.750488,0.748871
373,Into Black,0.113647,0.105114,0.867549,0.703725
374,War Wind II: Human Onslaught,0.113550,0.109375,0.671534,0.935102
375,Infected Dawn,0.113475,0.106534,0.802920,0.966140
376,Twofold,0.113289,0.102273,0.952802,0.794018
377,Trials of Proelium,0.113097,0.102273,0.945471,0.892777
378,Eternal Fidelity,0.112874,0.106534,0.775167,0.991535
379,Musicmenia,0.112866,0.103693,0.887800,0.889955
380,GreedFall: The Dying World,0.112683,0.109375,0.621125,0.534424
381,典藏大富翁,0.112544,0.102273,0.924657,0.974605
382,Athanasy,0.112463,0.100852,0.968273,0.904063
383,Kit's Quest,0.112372,0.102273,0.918460,0.892777
384,ALPHA-NIGHTHAWK,0.112138,0.107955,0.668459,0.968962
385,RFVR,0.112103,0.105114,0.801404,0.754515
386,真探2,0.111872,0.102273,0.899397,0.873025
387,末夜部落,0.111720,0.107955,0.644771,0.844808
388,Lust&Magic -花篮中的琪莎拉-,0.111697,0.107955,0.642920,0.946388
389,Backrooms Society,0.111650,0.105114,0.780315,0.926637
390,游魂-It's happy days-,0.111621,0.100852,0.938200,0.788375
391,Mechanic Heroes,0.111600,0.100852,0.937227,0.870203
392,Time Commando,0.111513,0.100852,0.933853,0.935102
393,调皮主人俏女仆,0.111382,0.100852,0.929265,0.853273
394,Let Them Come: Onslaught,0.111337,0.102273,0.878373,0.915350
395,幽灵追踪,0.111271,0.099432,0.970602,0.889955
396,Professor of Magical Studies,0.111243,0.100852,0.923962,0.906885
397,Twinkle Hunter,0.111164,0.099432,0.966893,0.873025
398,Launching Over It,0.110968,0.099432,0.959696,0.966140
399,ADACA,0.110845,0.100852,0.909435,0.782731
400,OBSCURITE MAGIE ～ 强欲冒险家与王室之血,0.110806,0.102273,0.857127,0.920429
401,TitTok Kitty,0.110705,0.100852,0.903724,0.923815
402,潜入,0.110577,0.103693,0.791836,0.901242
403,Rush Rally 3,0.110387,0.099432,0.939289,0.844808
404,心动现场：恋爱实境秀,0.110122,0.098011,0.974135,0.906885
405,Maku,0.109856,0.105114,0.691909,0.977427
406,Don't Die Collect Loot,0.109773,0.099432,0.916578,0.944272
407,Plank Builders,0.109703,0.106534,0.604867,0.873025
408,Echoes From The Soul,0.109532,0.098011,0.953650,0.878668
409,比基尼铠甲探险队,0.109526,0.105114,0.674695,0.870203
410,Idle Zombie Wave: Premium,0.109253,0.106534,0.574905,0.926637
411,『LACKGIRL I - "Astra inclinant sed non obligant."』,0.109240,0.100852,0.846660,0.822235
412,Endless Dark,0.109111,0.096591,0.982099,0.915350
413,极爆少年,0.108554,0.098011,0.918669,0.879797
414,Her Jentle Hi-ness,0.108128,0.096591,0.948500,0.867381
415,Slime Dice,0.108049,0.096591,0.945471,0.957675
416,The Impossible Game 2,0.107735,0.100852,0.782790,0.946388
417,职场女友带回家,0.107533,0.099432,0.829872,0.911682
