游戏名称,价格,好评率,好评人数,平均游玩时长,标签
Epic City Builder 4,¥ 7.00,72%,25,1.7h,休闲
[Chilla's Art] The Caregiver | 終焉介護,¥ 22.00,80%,414,2.5h,休闲
Nordicandia,免费开玩,67%,631,38.7h,挂机游戏
中年失业模拟器When a man lose his job,¥ 29.00,78%,344,8.7h,休闲
TeamPlay,¥ 0.00,,,,休闲
Aery - A Journey Beyond Time,¥ 18.50,90%,61,50.9h,休闲
拼图猫娘4,¥ 22.00,94%,"4,293",14.7h,休闲
Hover Ship,¥ 6.00,1 篇用户评测,1,2.1h,休闲
JAB!,¥ 15.00,4 篇用户评测,4,77.7h,休闲
Ascendum,¥ 56.00,100%,19,1.8h,休闲
Ink Shapes: Book One,¥ 0.00,,,,休闲
My Last Memories About You,¥ 18.00,90%,11,0.3h,休闲
Anime Catgirl Runner,¥ 6.50,4 篇用户评测,4,1.7h,休闲
Happy Day,¥ 3.08,27%,18,1.4h,挂机游戏
Lost Assassin - A Tale of AI Corruption,¥ 18.00,,,2.2h,休闲
bridg,免费开玩,57%,76,5.4h,休闲
循环世界,免费开玩,68%,22,5.0h,休闲
Maze Party,¥ 26.00,3 篇用户评测,3,14.2h,休闲
VR Wonderland 2：Adventures in a Fruit Boat,¥ 5.76,2 篇用户评测,2,1.1h,休闲
Zero-G Revolution,免费,6 篇用户评测,6,9.4h,休闲
Arc Wizards 3,¥ 33.00,1 篇用户评测,1,15.2h,休闲
그랑 엠파이어,免费开玩,93%,204,7.9h,休闲
VR Plane Crash,¥ 5.76,18%,11,0.6h,休闲
Surprising My Neighbors 2,¥ 6.00,71%,14,0.4h,"挂机游戏, 休闲"
Fractal Evolution,¥ 0.00,,,,挂机游戏
Roboggled Sokoban Game,¥ 15.00,2 篇用户评测,2,2.5h,休闲
Blockdown,免费开玩,93%,30,5.5h,休闲
A hermit crab is finding a house,¥ 6.00,100%,27,1.9h,"休闲, 点击游戏"
Inversion,¥ 22.00,90%,20,1.5h,休闲
Oscar & Gems: Puzzle Quest,¥ 11.00,91%,12,2.3h,"休闲, 三消"
Run Ralph Run,¥ 30.00,73%,26,3.4h,休闲
Neon,¥ 30.00,95%,48,1.3h,休闲
