游戏名称,价格,好评率,好评人数,平均游玩时长,标签
Found,免费开玩,88%,146,7.9h,"冒险, 互动小说"
Shu,¥ 37.00,75%,90,4.6h,冒险
Twixel,¥ 11.00,83%,18,3.8h,冒险
Eisenwald: Blood of November,¥ 34.00,54%,144,3.8h,"开放世界, 冒险"
Birthright Cataclysm - Overture,免费开玩,84%,13,14.4h,"冒险, 恐怖"
SOS Survival,¥ 42.00,55%,20,14.7h,"探索, 冒险"
Nekuia,¥ 36.00,66%,12,4.1h,冒险
Arakion: Book One,¥ 70.00,50%,22,1.6h,"冒险, 探索, 开放世界"
Awkward Dimensions Redux,免费,80%,"2,956",2.1h,"冒险, 步行模拟, 恐怖, 开放世界"
Omni Link,¥ 18.00,88%,43,5.3h,"视觉小说, 冒险"
Moekuri: Adorable + Tactical SRPG,¥ 55.00,87%,325,14.0h,视觉小说
Dark and Light,¥ 98.00,51%,"10,553",75.4h,"开放世界, 冒险"
TEOT - The End OF Tomorrow,¥ 30.00,50%,12,0.9h,冒险
I Know a Tale,¥ 15.00,76%,42,3.8h,冒险
Rogue Trooper Redux,¥ 92.00,77%,461,4.2h,冒险
ALONE? - VR,¥ 35.00,63%,36,3.7h,"冒险, 恐怖"
Kyurinaga's Revenge,¥ 31.00,81%,11,5.2h,冒险
"Please, Don't Touch Anything 3D",¥ 42.00,81%,"1,309",3.5h,"冒险, 恐怖"
FISH LAKE,¥ 37.00,3 篇用户评测,3,2.2h,冒险
The Rabbit Hole Remastered,¥ 6.00,68%,35,3.7h,"冒险, 恐怖"
Mages of Mystralia,¥ 68.00,85%,876,7.1h,"冒险, 动作冒险"
The Bellows,免费,86%,244,9.8h,"冒险, 恐怖"
TAIKU MANSION,¥ 30.00,58%,84,4.6h,"冒险, 恐怖"
Ley Lines,免费,83%,153,5.8h,冒险
Disturbed,免费开玩,92%,"1,857",6.5h,"恐怖, 冒险, 视觉小说, 互动小说"
Maniac Mansion,¥ 26.00,86%,197,2.1h,"冒险, 探索"
Polygon Attack,¥ 11.00,89%,234,4.8h,冒险
ARK Park,¥ 39.60,44%,409,16.4h,"冒险, 开放世界, 探索"
Resurgence,¥ 11.00,6 篇用户评测,6,4.3h,冒险
PositronX,¥ 84.99,71%,56,3.7h,冒险
World to the West,¥ 75.00,79%,188,6.6h,"冒险, 动作冒险, 探索"
Yuna and other troubles,¥ 37.00,1 篇用户评测,1,0.3h,冒险
交易马车,¥ 28.00,93%,45,7.2h,冒险
Exophobia,¥ 58.00,89%,93,4.0h,"探索, 动作冒险, 冒险"
Door in the Woods,¥ 37.00,78%,240,3.7h,恐怖
The Black Grimoire: Cursebreaker,¥ 58.00,86%,776,17.6h,"冒险, 开放世界, 探索"
To Ash and Ember,¥ 0.00,,,,探索
Beat Or Die The MiniGames,¥ 11.00,1 篇用户评测,1,4.8h,冒险
VenusBlood FRONTIER International,¥ 114.99,93%,753,24.1h,"冒险, 视觉小说"
觅长生,¥ 58.00,93%,"26,298",52.5h,"开放世界, 探索"
DEUS EX MACHINA: Stage Zero,免费,61%,13,16.2h,冒险
漫步者 The Walker,¥ 4.00,4 篇用户评测,4,2.5h,"冒险, 探索, 恐怖"
Degraman: Act I. Vincent,免费开玩,83%,191,9.4h,"视觉小说, 冒险, 互动小说"
Tales of Tomorrow: Experiment,¥ 37.00,58%,12,4.9h,"探索, 冒险"
Juken Jigoku | 受験地獄,¥ 15.00,66%,45,1.1h,"冒险, 恐怖"
传说之光,¥ 37.00,无用户评测,,0.6h,"视觉小说, 冒险"
鶴鄉戀旅,免费,98%,191,5.6h,"冒险, 视觉小说"
Car Mechanic Simulator 2021,Car Mechanic Simulator 2021 Demo,95%,"34,243",23.0h,"开放世界, 冒险"
Araha : Curse of Yieun Island,¥ 54.00,59%,297,8.3h,"冒险, 恐怖"
Long Count,¥ 15.00,,,5.0h,"冒险, 互动小说"
Race Race Racer,¥ 6.00,79%,29,1.8h,冒险
The Wonderful 101: Remastered,¥ 200.00,84%,546,7.8h,"冒险, 动作冒险"
Crazy city,¥ 116.00,8 篇用户评测,8,0.3h,冒险
Heebie Jeebies: The Roller Coaster,¥ 22.00,5 篇用户评测,5,1.2h,恐怖
SOONA,¥ 11.00,3 篇用户评测,3,1.6h,"冒险, 动作冒险"
Scriptum VR: The Neighbor's House Escape Room,¥ 32.00,1 篇用户评测,1,0.6h,"冒险, 探索"
Project J,¥ 18.00,,,0.1h,冒险
Memory Match Saga,¥ 11.00,1 篇用户评测,1,3.7h,冒险
胶囊人,¥ 0.00,,,,冒险
Phantom Hills,¥ 0.00,,,,"恐怖, 步行模拟, 开放世界, 探索, 冒险"
Tales of the Deck,¥ 37.00,5 篇用户评测,5,2.9h,冒险
DooM in the Dark 2,¥ 6.00,40%,10,2.4h,恐怖
Ghetto Conspiracy,¥ 15.00,85%,14,1.4h,冒险
Boomer Remover,¥ 6.00,72%,18,1.7h,冒险
Booobjz,Booobjz Demo,90%,21,6.7h,冒险
ScribbleDude,¥ 28.00,100%,17,4.2h,冒险
MotoTrials,¥ 58.00,6 篇用户评测,6,0.9h,冒险
Seek Girl Ⅲ,¥ 11.00,83%,"2,672",7.3h,冒险
SANCTION,¥ 26.00,4 篇用户评测,4,,"冒险, 动作冒险, 步行模拟, 探索"
[Chilla's Art] Yuki Onna | 雪女,¥ 22.00,76%,177,3.0h,"恐怖, 冒险, 探索"
青春叙曲 Growing Up,¥ 48.00,87%,"3,314",9.5h,"冒险, 视觉小说"
刀剑乱舞无双,¥ 349.00,87%,186,17.0h,冒险
12 Labours of Hercules X: Greed for Speed,¥ 41.00,69%,23,22.5h,冒险
Arzt Simulator,¥ 50.00,9 篇用户评测,9,1.1h,冒险
Inferna,免费开玩,62%,"2,209",9.8h,"冒险, 开放世界, 探索"
Forgotten Ways,¥ 11.00,90%,96,24.0h,步行模拟
Hero Soul: I want to be a Hero!,¥ 37.00,1 篇用户评测,1,1.1h,冒险
Fifo's Night,免费开玩,90%,173,5.6h,"动作冒险, 冒险"
Nexomon,¥ 37.00,88%,"1,707",12.2h,"冒险, 探索"
Streamer Shall Not Pass!,¥ 678.00,1 篇用户评测,1,6.5h,"探索, 冒险, 恐怖"
Memory,¥ 50.00,1 篇用户评测,1,7.7h,冒险
Shantae and the Seven Sirens,¥ 90.00,90%,"1,494",11.9h,"冒险, 探索, 动作冒险"
Spidersaurs,¥ 70.00,74%,50,3.8h,冒险
Rebel Transmute,¥ 76.00,73%,232,9.8h,"探索, 冒险, 动作冒险"
境界 Dice&Fighter,¥ 18.00,69%,95,17.0h,冒险
El Culto: edición completa,¥ 28.00,1 篇用户评测,1,,冒险
Spot The Differences 2020 | 大家来找茬 2020,¥ 11.00,66%,12,2.3h,冒险
混世萌王喵霸霸 Cute Chaos Demon Nyanbaba,¥ 3.00,98%,111,3.4h,"探索, 恐怖"
Iverian Wars: Craxion vs Defugel,免费开玩,32%,518,4.5h,"冒险, 开放世界"
Legend Creatures(传奇生物),¥ 19.00,89%,"3,779",20.8h,"探索, 冒险"
哥布林时代,¥ 48.00,55%,20,3.7h,冒险
Say No! More,¥ 50.00,91%,"1,690",2.8h,"冒险, 动作冒险"
Deathtrap Dungeon: The Interactive Video Adventure,¥ 32.00,91%,165,3.9h,冒险
Detective Simulator,¥ 0.00,,,,冒险
《辽阔旷野》Open Country,¥ 19.20,38%,321,6.8h,"冒险, 开放世界, 探索, 动作冒险, 步行模拟"
Section Six,¥ 19.00,9 篇用户评测,9,1.1h,"冒险, 互动小说, 视觉小说"
Octopus City Blues,¥ 0.00,,,,"探索, 冒险, 互动小说, 恐怖"
Labyrinths of the World: The Wild Side Collector's Edition,¥ 76.00,90%,11,3.7h,冒险
Room Escape '1053',¥ 0.00,8 篇用户评测,8,0.2h,"冒险, 动作冒险"
Love Me Forever,¥ 0.00,,,,"探索, 冒险"
Royal Detective: The Last Charm Collector's Edition,¥ 76.00,4 篇用户评测,4,3.9h,冒险
Burning Sun,¥ 0.00,,,,"冒险, 互动小说"
GraFi Christmas,¥ 3.08,5 篇用户评测,5,3.0h,冒险
东方梦猫传,¥ 5.50,69%,46,1.2h,冒险
23UL,¥ 11.00,1 篇用户评测,1,1.3h,冒险
Romancelvania,¥ 92.00,76%,246,4.7h,"探索, 冒险"
The Last Roman Village 2,¥ 0.00,,,,"动作冒险, 冒险, 开放世界"
The Shenanigans of Cherry and Trix,¥ 22.00,3 篇用户评测,3,6.8h,"冒险, 动作冒险"
Winter Snow | 冬雪,¥ 11.00,7 篇用户评测,7,3.7h,"冒险, 视觉小说"
Shoot Them,¥ 12.00,80%,121,4.4h,冒险
Nostalgiarian,¥ 3.30,7 篇用户评测,7,2.0h,冒险
Monkey GO Happy,免费,97%,251,2.6h,冒险
食用系少女：美食內戰 Food Girls：Civil War,¥ 59.00,94%,69,8.2h,"视觉小说, 冒险"
Abyss,¥ 0.00,,,,冒险
Bus World,¥ 68.00,72%,"1,755",5.0h,"冒险, 开放世界, 探索"
DEFICIT,¥ 0.00,,,,"恐怖, 探索"
K37-D,¥ 11.00,4 篇用户评测,4,4.3h,"恐怖, 冒险"
Hunt the Muglump,¥ 22.43,5 篇用户评测,5,6.5h,"冒险, 探索"
Wonder Cat,¥ 0.00,,,,冒险
Axe Cop,¥ 37.00,88%,18,1.8h,冒险
Together - A Wish No One Remembers,¥ 11.00,100%,10,2.1h,视觉小说
Zelter / 尸外桃源,¥ 76.00,48%,"1,731",9.0h,"开放世界, 探索"
The Visitors,¥ 22.00,无用户评测,,6.9h,冒险
Vapormaze,¥ 50.00,77%,18,1.0h,动作冒险
Space Climber,¥ 18.00,2 篇用户评测,2,5.2h,冒险
Abomi Nation,¥ 58.00,84%,117,6.5h,探索
The Aftermath: Unnatural Selection,¥ 0.00,,,,"开放世界, 冒险"
Meandering Fiend,¥ 6.00,1 篇用户评测,1,0.8h,冒险
WarriOrb: Prologue,免费,88%,398,1.3h,"探索, 开放世界, 冒险"
Piece Of Mind,¥ 50.00,3 篇用户评测,3,,冒险
UNHERD,免费开玩,76%,21,9.1h,"冒险, 动作冒险"
Jack-O-Lantern Covers of Darkness,¥ 45.00,3 篇用户评测,3,3.3h,冒险
Tower Climb,¥ 6.00,7 篇用户评测,7,1.0h,冒险
Island Marauder,免费开玩,81%,181,4.8h,冒险
Trapped,¥ 8.99,83%,133,1.6h,"冒险, 恐怖, 步行模拟"
Orange Cast: Sci-Fi Space Action Game,¥ 29.00,45%,137,4.4h,"探索, 冒险"
One-Eyed Lee and the Dinner Party,¥ 22.00,94%,19,1.1h,"冒险, 视觉小说"
Paradise Away,¥ 0.00,,,,"冒险, 探索"
The Land of Crows,免费开玩,86%,46,8.1h,"冒险, 恐怖"
Cursed Gem,免费开玩,90%,65,18.4h,"冒险, 动作冒险"
激战魔方 Dethcube,¥ 18.00,无用户评测,,26.9h,冒险
Terra Incognita,¥ 35.00,无用户评测,,8.1h,冒险
剑物语,¥ 27.00,2 篇用户评测,2,0.9h,"冒险, 动作冒险"
Zombie Tag Royale,¥ 11.00,2 篇用户评测,2,0.8h,冒险
Chrono The Nightmare Begins,¥ 0.00,,,,恐怖
Joe Kowalski Chronicles: Murder in a flat,¥ 0.00,,,,"动作冒险, 冒险, 恐怖"
斧女侠小婕：试炼,免费,78%,52,6.8h,"开放世界, 冒险"
苏菲的炼金工房 ～不可思议书的炼金术士～ DX,¥ 249.00,90%,918,34.5h,"冒险, 探索"
莉迪＆苏瑞的炼金工房 ～不可思议绘画的炼金术士～ DX,¥ 249.00,91%,379,47.5h,"冒险, 探索"
菲利丝的炼金工房 ～不可思议旅的炼金术士～ DX,¥ 249.00,74%,442,46.2h,"冒险, 探索"
Prison  X - Chapter 1: The Devil and The Sun,¥ 15.00,1 篇用户评测,1,,"互动小说, 视觉小说, 开放世界"
Don't Be A Baby!,¥ 6.00,2 篇用户评测,2,1.8h,冒险
Elementite,Elementite Demo,4 篇用户评测,4,1.2h,"动作冒险, 开放世界"
Muslim 3D,¥ 126.00,90%,20,512.1h,"探索, 开放世界"
Octarina,免费,83%,299,1.1h,冒险
Cyberpunch,¥ 8.00,2 篇用户评测,2,1.6h,冒险
Francisca 2,¥ 6.00,52%,19,1.0h,"冒险, 探索, 恐怖"
Temporal Purge: Z,¥ 24.99,85%,47,2.7h,恐怖
DreamScapes Dimensions,免费开玩,43%,83,24.6h,开放世界
Children's Jigsaw Puzzles,¥ 18.00,2 篇用户评测,2,3.5h,冒险
FarmZone,¥ 0.00,,,,"冒险, 开放世界, 恐怖"
Paradigm Shift,免费,83%,12,10.8h,"冒险, 动作冒险, 探索, 互动小说"
Minit Fun Racer,¥ 15.00,96%,247,6.9h,"冒险, 动作冒险"
复仇之臂复刻版,¥ 22.00,75%,37,5.8h,"动作冒险, 冒险"
