游戏名称,价格,好评率,好评人数,平均游玩时长,标签
Dashbot Ninja,免费开玩,8 篇用户评测,8,9.7h,动作
Musical Aim Trainer,¥ 15.00,2 篇用户评测,2,0.2h,"节奏, 动作"
Orange Cast: Sci-Fi Space Action Game,¥ 29.00,45%,137,4.4h,动作
Foe Frenzy,¥ 15.00,1 篇用户评测,1,0.1h,"动作, 格斗"
Volleyball Fever Flat,¥ 15.00,3 篇用户评测,3,1.0h,"动作, 街机"
The Ugly Christmas Sweater Game,¥ 0.00,,,,动作
Cursed Gem,免费开玩,90%,65,18.4h,"平台游戏, 动作"
Terra Incognita,¥ 35.00,无用户评测,,8.1h,动作
Drone Combat,¥ 22.00,无用户评测,,6.0h,动作
剑物语,¥ 27.00,2 篇用户评测,2,0.9h,动作
Zombie Tag Royale,¥ 11.00,2 篇用户评测,2,0.8h,"动作, 大逃杀"
Chrono The Nightmare Begins,¥ 0.00,,,,动作
斧女侠小婕：试炼,免费,78%,52,6.8h,"平台游戏, 街机, 动作"
The Chaos Gene,¥ 43.00,2 篇用户评测,2,0.6h,"格斗, 街机"
Don't Be A Baby!,¥ 6.00,2 篇用户评测,2,1.8h,"动作, 平台游戏"
Elementite,Elementite Demo,4 篇用户评测,4,1.2h,"动作, 潜行"
PePiBo: Peregrino Pinata Bowling,¥ 32.00,2 篇用户评测,2,,街机
Octarina,免费,83%,299,1.1h,"平台游戏, 动作"
Cyberpunch,¥ 8.00,2 篇用户评测,2,1.6h,"动作, 街机, 角色动作, 格斗"
Francisca 2,¥ 6.00,52%,19,1.0h,"动作, 街机, 潜行"
Drunk Soccer is the Best Soccer,¥ 6.00,85%,40,1.2h,"街机, 动作"
Temporal Purge: Z,¥ 24.99,85%,47,2.7h,动作
Groov,¥ 21.00,100%,12,1.3h,"动作, 节奏, 街机"
Lacuna/Draft,¥ 0.00,,,,"动作, 平台游戏"
Minit Fun Racer,¥ 15.00,96%,247,6.9h,"动作, 街机"
Range is HOT!,¥ 90.00,75%,40,1.9h,动作
复仇之臂复刻版,¥ 22.00,75%,37,5.8h,"街机, 平台游戏, 动作"
[Chilla's Art] The Caregiver | 終焉介護,¥ 22.00,80%,414,2.5h,潜行
Rules of Alchemy,¥ 0.00,,,,动作
Inglorious Aztecs,¥ 6.00,6 篇用户评测,6,1.6h,"动作, 格斗, 平台游戏"
Nordicandia,免费开玩,67%,631,38.7h,动作
Ballfrog,¥ 8.80,80%,46,1.7h,"动作, 街机, 平台游戏"
TeamPlay,¥ 0.00,,,,街机
The Alpha 001,¥ 15.00,3 篇用户评测,3,0.9h,动作
Aery - A Journey Beyond Time,¥ 18.50,90%,61,50.9h,动作
Glam's Incredible Run: Escape from Dukha,¥ 15.00,5 篇用户评测,5,2.0h,"动作, 平台游戏"
Tomorrow,免费开玩,71%,56,2.2h,潜行
Negative: The Way of Shinobi,¥ 26.00,5 篇用户评测,5,2.0h,"动作, 街机, 平台游戏, 潜行"
Hover Ship,¥ 6.00,1 篇用户评测,1,2.1h,街机
JAB!,¥ 15.00,4 篇用户评测,4,77.7h,"动作, 街机"
Ascendum,¥ 56.00,100%,19,1.8h,平台游戏
Hello Guest: Hello Neighbor 2 pre-alpha,免费,88%,775,6.2h,潜行
Skyratz,¥ 6.00,2 篇用户评测,2,1.1h,"动作, 大逃杀"
Paper Planet,¥ 50.00,89%,376,6.6h,"街机, 动作"
Azure Sky,¥ 18.00,76%,21,3.0h,"动作, 平台游戏, 格斗"
GOC Royale,¥ 15.00,5 篇用户评测,5,0.6h,大逃杀
CrushBorgs,¥ 22.00,93%,113,2.2h,"动作, 街机, 平台游戏"
Anime Catgirl Runner,¥ 6.50,4 篇用户评测,4,1.7h,"动作, 平台游戏"
Lost Assassin - A Tale of AI Corruption,¥ 18.00,,,2.2h,"平台游戏, 动作"
Through the Helios,¥ 22.00,1 篇用户评测,1,,动作
太荒初境,¥ 68.00,38%,"12,572",70.2h,动作
Maze Party,¥ 26.00,3 篇用户评测,3,14.2h,街机
Arc Wizards 3,¥ 33.00,1 篇用户评测,1,15.2h,"街机, 角色动作, 动作"
Cloud Jumper,¥ 0.00,,,,动作
Surprising My Neighbors 2,¥ 6.00,71%,14,0.4h,"潜行, 动作"
Harpy Star,¥ 0.00,,,,"平台游戏, 动作"
We Can Make It,¥ 0.00,,,,动作
Blockdown,免费开玩,93%,30,5.5h,街机
Mothercore,¥ 22.00,1 篇用户评测,1,,动作
荣光的见证 Glory's Witness,¥ 22.00,3 篇用户评测,3,1.1h,"动作, 平台游戏"
A hermit crab is finding a house,¥ 6.00,100%,27,1.9h,平台游戏
Librarian,¥ 22.00,93%,16,1.6h,"动作, 街机, 平台游戏, 角色动作"
Robot Robert,¥ 6.00,75%,28,12.5h,"动作, 平台游戏, 角色动作"
Inversion,¥ 22.00,90%,20,1.5h,街机
Neon Warrior,¥ 42.00,84%,13,4.1h,"动作, 街机, 平台游戏"
Oscar & Gems: Puzzle Quest,¥ 11.00,91%,12,2.3h,"街机, 动作"
Run Ralph Run,¥ 30.00,73%,26,3.4h,"动作, 街机, 平台游戏"
Neon,¥ 30.00,95%,48,1.3h,"动作, 街机, 角色动作"
Arnold,¥ 3.19,100%,23,2.3h,"动作, 街机, 平台游戏"
Fluffy Gore,Fluffy Gore Demo,5 篇用户评测,5,6.2h,"动作, 平台游戏"
Defender of Kuiper Belt,Demo,,,2.0h,街机
Get Together: A Coop Adventure,¥ 5.50,65%,84,2.4h,平台游戏
RETRIS,¥ 15.00,90%,11,3.5h,街机
Berzerk Flashback,¥ 10.85,93%,134,10.1h,动作
Lux mina,¥ 37.00,1 篇用户评测,1,,"平台游戏, 动作"
BAND OF BROTHERS,¥ 6.00,52%,34,0.7h,"动作, 大逃杀"
Apostle 3D,¥ 15.00,7 篇用户评测,7,1.6h,动作
Astro Zip VR,免费开玩,7 篇用户评测,7,8.4h,"街机, 动作"
Edifice of Fiends,¥ 22.00,2 篇用户评测,2,13.2h,动作
Hexacore,¥ 15.00,4 篇用户评测,4,0.0h,街机
The SOL Device 2,免费开玩,9 篇用户评测,9,6.4h,平台游戏
Orc Warchief: Strategy Story,¥ 0.00,,,,动作
Bleak end,¥ 0.00,,,,平台游戏
Cat Go! Ultimate Challenge,¥ 11.00,84%,26,1.9h,"平台游戏, 街机"
Kuguru,¥ 26.00,2 篇用户评测,2,2.2h,动作
MARK-I: Mission Pilot,¥ 11.00,5 篇用户评测,5,1.6h,"动作, 街机"
QFIELD,¥ 0.00,,,,动作
Fuzz Dungeon,¥ 18.00,100%,74,3.5h,"平台游戏, 动作"
Solitons,¥ 0.00,,,,"街机, 动作"
Bigfoot Forest,¥ 3.00,73%,142,1.3h,"动作, 潜行"
Scribble Fight,¥ 42.00,4 篇用户评测,4,1.1h,"动作, 角色动作"
Agent X,¥ 6.00,38%,13,0.3h,"动作, 街机, 角色动作"
Asteroids Belt: Try to Survive!,¥ 6.00,91%,24,2.3h,街机
巴特拉：家在何方,¥ 110.00,73%,207,6.2h,动作
White Shirts Red Blood,¥ 0.00,,,,"角色动作, 动作"
The Ramp,¥ 26.00,95%,"1,094",2.2h,"动作, 街机"
Green world: Catharsis,¥ 18.00,100%,16,1.3h,动作
Doomsday Fodder,¥ 0.00,,,,动作
